Service, Operation, UsageType, Resource, StartTime, EndTime, UsageValue
AmazonS3,GetObject,DataTransfer-Out-Bytes,stepitup2007.org,"Jun 4, 2008 12:00 AM","Jun 5, 2008 12:00 AM",231174370
AmazonS3,GetObject,DataTransfer-Out-Bytes,corpwatch.org,"Jun 4, 2008 12:00 AM","Jun 5, 2008 12:00 AM",461915003
AmazonS3,GetObject,DataTransfer-Out-Bytes,everythingscool.org,"Jun 4, 2008 12:00 AM","Jun 5, 2008 12:00 AM",280783
AmazonS3,GetObject,DataTransfer-Out-Bytes,actions.energyactioncoalition.org,"Jun 4, 2008 12:00 AM","Jun 5, 2008 12:00 AM",871878
AmazonS3,GetObject,DataTransfer-Out-Bytes,events.catalogcutdown.org,"Jun 4, 2008 12:00 AM","Jun 5, 2008 12:00 AM",93602
AmazonS3,GetObject,DataTransfer-Out-Bytes,events.womenarts.org,"Jun 4, 2008 12:00 AM","Jun 5, 2008 12:00 AM",40267
AmazonS3,GetObject,DataTransfer-Out-Bytes,4b8545297362cfff9efe73a19b7c30d2-default,"Jun 4, 2008 12:00 AM","Jun 5, 2008 12:00 AM",29227
AmazonS3,ListAllMyBuckets,DataTransfer-Out-Bytes,,"Jun 4, 2008 12:00 AM","Jun 5, 2008 12:00 AM",3970
AmazonS3,ListBucket,DataTransfer-Out-Bytes,4b8545297362cfff9efe73a19b7c30d2-default,"Jun 4, 2008 12:00 AM","Jun 5, 2008 12:00 AM",40576
AmazonS3,UnknownAction,DataTransfer-Out-Bytes,codepink4peace.org,"Jun 4, 2008 12:00 AM","Jun 5, 2008 12:00 AM",13803
AmazonS3,GetObject,DataTransfer-Out-Bytes,notyoursoldier.org,"Jun 5, 2008 12:00 AM","Jun 6, 2008 12:00 AM",2495418973
AmazonS3,GetObject,DataTransfer-Out-Bytes,corpwatch.org,"Jun 5, 2008 12:00 AM","Jun 6, 2008 12:00 AM",473628689
AmazonS3,GetObject,DataTransfer-Out-Bytes,codepink4peace.org,"Jun 5, 2008 12:00 AM","Jun 6, 2008 12:00 AM",837527331
AmazonS3,GetObject,DataTransfer-Out-Bytes,stepitup2007.org,"Jun 5, 2008 12:00 AM","Jun 6, 2008 12:00 AM",192215419
AmazonS3,GetObject,DataTransfer-Out-Bytes,actions.energyactioncoalition.org,"Jun 5, 2008 12:00 AM","Jun 6, 2008 12:00 AM",640468
AmazonS3,GetObject,DataTransfer-Out-Bytes,seiuvoice.org,"Jun 5, 2008 12:00 AM","Jun 6, 2008 12:00 AM",281485989
AmazonS3,GetObject,DataTransfer-Out-Bytes,events.unitedforpeace.org,"Jun 5, 2008 12:00 AM","Jun 6, 2008 12:00 AM",1150375
AmazonS3,GetObject,DataTransfer-Out-Bytes,events.radicaldesigns.org,"Jun 5, 2008 12:00 AM","Jun 6, 2008 12:00 AM",1848
AmazonS3,GetObject,DataTransfer-Out-Bytes,actionecho.radicaldesigns.org,"Jun 5, 2008 12:00 AM","Jun 6, 2008 12:00 AM",3612945
AmazonS3,GetObject,DataTransfer-Out-Bytes,everythingscool.org,"Jun 5, 2008 12:00 AM","Jun 6, 2008 12:00 AM",221545
AmazonS3,GetObject,DataTransfer-Out-Bytes,events.momsrising.org,"Jun 5, 2008 12:00 AM","Jun 6, 2008 12:00 AM",3326550
AmazonS3,GetObject,DataTransfer-Out-Bytes,events.catalogcutdown.org,"Jun 5, 2008 12:00 AM","Jun 6, 2008 12:00 AM",46506
AmazonS3,GetObject,DataTransfer-Out-Bytes,events.womenarts.org,"Jun 5, 2008 12:00 AM","Jun 6, 2008 12:00 AM",508757
AmazonS3,GetObject,DataTransfer-Out-Bytes,4b8545297362cfff9efe73a19b7c30d2-default,"Jun 5, 2008 12:00 AM","Jun 6, 2008 12:00 AM",19939280
AmazonS3,HeadObject,DataTransfer-Out-Bytes,codepink4peace.org,"Jun 5, 2008 12:00 AM","Jun 6, 2008 12:00 AM",693
AmazonS3,HeadObject,DataTransfer-Out-Bytes,corpwatch.org,"Jun 5, 2008 12:00 AM","Jun 6, 2008 12:00 AM",231
AmazonS3,HeadObject,DataTransfer-Out-Bytes,4b8545297362cfff9efe73a19b7c30d2-default,"Jun 5, 2008 12:00 AM","Jun 6, 2008 12:00 AM",259290
AmazonS3,ListBucket,DataTransfer-Out-Bytes,events.unitedforpeace.org,"Jun 5, 2008 12:00 AM","Jun 6, 2008 12:00 AM",231
AmazonS3,ListBucket,DataTransfer-Out-Bytes,4b8545297362cfff9efe73a19b7c30d2-default,"Jun 5, 2008 12:00 AM","Jun 6, 2008 12:00 AM",110554
AmazonS3,UnknownAction,DataTransfer-Out-Bytes,codepink4peace.org,"Jun 5, 2008 12:00 AM","Jun 6, 2008 12:00 AM",19032
AmazonS3,UnknownAction,DataTransfer-Out-Bytes,seiuvoice.org,"Jun 5, 2008 12:00 AM","Jun 6, 2008 12:00 AM",6341
AmazonS3,UnknownAction,Requests-NoCharge,codepink4peace.org,"Jun 1, 2008 12:00 AM","Jun 2, 2008 12:00 AM",41
AmazonS3,UnknownAction,Requests-NoCharge,corpwatch.org,"Jun 1, 2008 12:00 AM","Jun 2, 2008 12:00 AM",1
AmazonS3,UnknownAction,Requests-NoCharge,codepink4peace.org,"Jun 2, 2008 12:00 AM","Jun 3, 2008 12:00 AM",44
AmazonS3,UnknownAction,Requests-NoCharge,corpwatch.org,"Jun 3, 2008 12:00 AM","Jun 4, 2008 12:00 AM",62
AmazonS3,UnknownAction,Requests-NoCharge,codepink4peace.org,"Jun 3, 2008 12:00 AM","Jun 4, 2008 12:00 AM",50
AmazonS3,DeleteObject,Requests-NoCharge,4b8545297362cfff9efe73a19b7c30d2-default,"Jun 4, 2008 12:00 AM","Jun 5, 2008 12:00 AM",2
AmazonS3,UnknownAction,Requests-NoCharge,codepink4peace.org,"Jun 4, 2008 12:00 AM","Jun 5, 2008 12:00 AM",37
AmazonS3,DeleteObject,Requests-NoCharge,4b8545297362cfff9efe73a19b7c30d2-default,"Jun 5, 2008 12:00 AM","Jun 6, 2008 12:00 AM",35
AmazonS3,UnknownAction,Requests-NoCharge,codepink4peace.org,"Jun 5, 2008 12:00 AM","Jun 6, 2008 12:00 AM",51
AmazonS3,UnknownAction,Requests-NoCharge,seiuvoice.org,"Jun 5, 2008 12:00 AM","Jun 6, 2008 12:00 AM",17
AmazonS3,ListBucket,Requests-Tier1,stepitup2007.org,"Jun 1, 2008 12:00 AM","Jun 2, 2008 12:00 AM",2
AmazonS3,PutObject,Requests-Tier1,actions.energyactioncoalition.org,"Jun 1, 2008 12:00 AM","Jun 2, 2008 12:00 AM",24
AmazonS3,PutObject,Requests-Tier1,seiuvoice.org,"Jun 1, 2008 12:00 AM","Jun 2, 2008 12:00 AM",19
AmazonS3,PutObject,Requests-Tier1,events.unitedforpeace.org,"Jun 1, 2008 12:00 AM","Jun 2, 2008 12:00 AM",48
AmazonS3,PutObject,Requests-Tier1,corpwatch.org,"Jun 1, 2008 12:00 AM","Jun 2, 2008 12:00 AM",15
AmazonS3,PutObject,Requests-Tier1,codepink4peace.org,"Jun 1, 2008 12:00 AM","Jun 2, 2008 12:00 AM",119
AmazonS3,PutObject,Requests-Tier1,events.womenarts.org,"Jun 1, 2008 12:00 AM","Jun 2, 2008 12:00 AM",24
AmazonS3,ListBucket,Requests-Tier1,4b8545297362cfff9efe73a19b7c30d2-default,"Jun 2, 2008 12:00 AM","Jun 3, 2008 12:00 AM",2
AmazonS3,ListBucket,Requests-Tier1,notyoursoldier.org,"Jun 2, 2008 12:00 AM","Jun 3, 2008 12:00 AM",1
AmazonS3,PutObject,Requests-Tier1,codepink4peace.org,"Jun 2, 2008 12:00 AM","Jun 3, 2008 12:00 AM",20
AmazonS3,PutObject,Requests-Tier1,actions.energyactioncoalition.org,"Jun 2, 2008 12:00 AM","Jun 3, 2008 12:00 AM",24
AmazonS3,PutObject,Requests-Tier1,events.unitedforpeace.org,"Jun 2, 2008 12:00 AM","Jun 3, 2008 12:00 AM",48
AmazonS3,PutObject,Requests-Tier1,seiuvoice.org,"Jun 2, 2008 12:00 AM","Jun 3, 2008 12:00 AM",31
AmazonS3,PutObject,Requests-Tier1,events.radicaldesigns.org,"Jun 2, 2008 12:00 AM","Jun 3, 2008 12:00 AM",4
AmazonS3,ListAllMyBuckets,Requests-Tier1,,"Jun 3, 2008 12:00 AM","Jun 4, 2008 12:00 AM",2
AmazonS3,ListBucket,Requests-Tier1,corpwatch.org,"Jun 3, 2008 12:00 AM","Jun 4, 2008 12:00 AM",1
AmazonS3,ListBucket,Requests-Tier1,4b8545297362cfff9efe73a19b7c30d2-default,"Jun 3, 2008 12:00 AM","Jun 4, 2008 12:00 AM",5
AmazonS3,PutObject,Requests-Tier1,codepink4peace.org,"Jun 3, 2008 12:00 AM","Jun 4, 2008 12:00 AM",7
AmazonS3,PutObject,Requests-Tier1,events.womenarts.org,"Jun 3, 2008 12:00 AM","Jun 4, 2008 12:00 AM",24
AmazonS3,PutObject,Requests-Tier1,actions.energyactioncoalition.org,"Jun 3, 2008 12:00 AM","Jun 4, 2008 12:00 AM",48
AmazonS3,PutObject,Requests-Tier1,events.unitedforpeace.org,"Jun 3, 2008 12:00 AM","Jun 4, 2008 12:00 AM",24
AmazonS3,PutObject,Requests-Tier1,4b8545297362cfff9efe73a19b7c30d2-default,"Jun 3, 2008 12:00 AM","Jun 4, 2008 12:00 AM",24
AmazonS3,PutObject,Requests-Tier1,seiuvoice.org,"Jun 3, 2008 12:00 AM","Jun 4, 2008 12:00 AM",11
AmazonS3,ListAllMyBuckets,Requests-Tier1,,"Jun 4, 2008 12:00 AM","Jun 5, 2008 12:00 AM",1
AmazonS3,ListBucket,Requests-Tier1,4b8545297362cfff9efe73a19b7c30d2-default,"Jun 4, 2008 12:00 AM","Jun 5, 2008 12:00 AM",4
AmazonS3,PutObject,Requests-Tier1,codepink4peace.org,"Jun 4, 2008 12:00 AM","Jun 5, 2008 12:00 AM",54
AmazonS3,PutObject,Requests-Tier1,seiuvoice.org,"Jun 4, 2008 12:00 AM","Jun 5, 2008 12:00 AM",6
AmazonS3,PutObject,Requests-Tier1,unitedforpeace.org,"Jun 4, 2008 12:00 AM","Jun 5, 2008 12:00 AM",5
AmazonS3,PutObject,Requests-Tier1,4b8545297362cfff9efe73a19b7c30d2-default,"Jun 4, 2008 12:00 AM","Jun 5, 2008 12:00 AM",6
AmazonS3,ListBucket,Requests-Tier1,events.unitedforpeace.org,"Jun 5, 2008 12:00 AM","Jun 6, 2008 12:00 AM",1
AmazonS3,ListBucket,Requests-Tier1,4b8545297362cfff9efe73a19b7c30d2-default,"Jun 5, 2008 12:00 AM","Jun 6, 2008 12:00 AM",61
AmazonS3,PutObject,Requests-Tier1,codepink4peace.org,"Jun 5, 2008 12:00 AM","Jun 6, 2008 12:00 AM",38
AmazonS3,PutObject,Requests-Tier1,unitedforpeace.org,"Jun 5, 2008 12:00 AM","Jun 6, 2008 12:00 AM",1
